ap1,ap2,ap3,ap4,ap5
988.8,989.6,1002.5,1008.7,1001.6
988.9,989.6,1002.5,1008.7,1001.7
989.0,989.7,1002.4,1008.6,1001.6
988.9,989.6,1002.4,1008.7,1001.5
988.9,989.7,1002.4,1008.7,1001.5
988.9,989.6,1002.3,1008.7,1001.5
988.8,989.6,1002.3,1008.7,1001.4
988.9,989.7,1002.4,1008.7,1001.5
988.9,989.6,1002.4,1008.7,1001.5
988.9,989.6,1002.5,1008.6,1001.5
989.0,989.7,1002.3,1008.5,1001.4
988.9,989.6,1002.2,1008.3,1001.3
988.8,989.5,1002.1,1008.2,1001.3
988.8,989.5,1002.0,1008.0,1001.2
988.7,989.4,1001.9,1008.1,1001.0
988.6,989.4,1001.9,1008.0,1001.0
988.6,989.4,1002.0,1008.0,1000.9
988.5,989.3,1001.9,1008.0,1000.9
988.5,989.2,1001.8,1008.0,1000.7
988.4,989.1,1001.8,1007.9,1000.7
988.3,989.0,1001.7,1007.9,1000.7
988.3,989.0,1001.5,1007.8,1000.7
988.3,989.0,1001.6,1007.9,1000.6
988.3,989.1,1001.7,1007.9,1000.7
988.2,989.0,1001.7,1008.0,1000.7
988.3,989.1,1001.7,1007.9,1000.8
988.4,989.1,1001.8,1007.9,1000.7
988.4,989.1,1001.7,1007.9,1000.6
988.3,989.0,1001.7,1007.8,1000.6
988.3,989.0,1001.7,1007.8,1000.6
988.3,988.9,1001.7,1007.7,1000.6
988.4,988.9,1001.6,1007.6,1000.6
988.3,988.8,1001.7,1007.7,1000.6
988.3,988.7,1001.7,1007.6,1000.5
988.4,988.7,1001.6,1007.6,1000.5
988.3,988.9,1001.7,1007.6,1000.6
988.4,988.9,1001.8,1007.7,1000.6
988.6,989.0,1001.8,1007.7,1000.6
988.5,989.0,1001.7,1007.9,1000.6
988.5,989.0,1001.7,1008.0,1000.7
988.4,989.0,1001.7,1007.9,1000.6
988.4,989.0,1001.6,1007.9,1000.6
988.3,988.9,1001.5,1007.7,1000.4
988.3,988.9,1001.5,1007.7,1000.4
988.2,988.8,1001.5,1007.7,1000.4
988.2,988.8,1001.4,1007.7,1000.5
