,Y18,t1,t2,t3,t4,t5,t_mean,h1,h2,h3,h4,h5,h_mean,r1_time_fin,r2_time_fin,r3_time_fin,r4_time_fin,r5_time_fin,r_mean,s1_time_fin,s5_time_fin,s_mean,sp1,sp2,sp3,sp4,sp5,sp_mean,ws1,ws2,ws3,ws4,ws5,ws_mean
4320,20.5,19.3,20.8,21.0,18.0,18.7,19.56,93.2,87.0,87.6,84.0,77.6,85.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.7,1007.8,1007.4,1008.2,1008.3,1007.8800000000001,0.9,2.2,0.5,1.1,0.0,0.9400000000000001
4321,20.5,19.0,20.6,20.7,17.7,19.0,19.4,93.7,89.2,86.4,84.4,79.2,86.58000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.7,1007.8,1007.4,1008.2,1008.3,1007.8800000000001,1.9,2.2,0.1,0.4,0.1,0.9399999999999998
4322,20.5,19.1,20.5,20.7,17.4,19.2,19.38,93.6,89.2,85.7,84.9,79.9,86.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.8,1007.9,1007.4,1008.2,1008.3,1007.9200000000001,2.0,1.4,0.0,0.1,0.0,0.7
4323,20.5,19.2,20.5,20.6,17.5,19.3,19.42,93.7,89.8,85.1,84.9,80.7,86.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.9,1007.9,1007.5,1008.2,1008.4,1007.9799999999999,1.8,1.5,0.0,0.0,0.0,0.6599999999999999
4324,20.5,19.2,20.5,20.5,17.4,19.5,19.419999999999998,93.9,89.7,84.9,84.9,80.9,86.85999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.9,1007.8,1007.6,1008.3,1008.4,1007.9999999999998,1.4,1.4,0.0,0.0,0.0,0.5599999999999999
4325,20.5,19.0,20.4,20.5,17.4,19.6,19.380000000000003,94.0,90.4,84.9,85.2,81.3,87.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.8,1008.0,1007.7,1008.3,1008.4,1008.04,1.5,1.2,0.3,0.0,0.0,0.6
4326,20.5,19.1,20.3,20.5,17.3,19.8,19.4,93.9,90.2,83.6,85.2,80.8,86.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.8,1008.0,1007.7,1008.3,1008.3,1008.0200000000001,1.2,1.0,0.1,0.0,0.6,0.5800000000000001
4327,20.5,19.3,20.4,20.5,17.3,19.7,19.44,94.3,88.9,84.0,85.2,80.8,86.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.8,1008.0,1007.6,1008.4,1008.4,1008.04,0.7,0.6,0.0,0.0,0.8,0.41999999999999993
4328,20.5,19.1,20.4,20.5,17.5,19.7,19.44,94.6,89.7,83.9,85.3,80.6,86.82000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.7,1008.0,1007.5,1008.3,1008.4,1007.9799999999999,2.7,0.1,0.7,0.0,0.7,0.8400000000000001
4329,20.5,18.8,20.4,20.3,17.4,19.6,19.3,93.6,91.2,85.1,85.0,80.9,87.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.6,1008.0,1007.5,1008.3,1008.4,1007.9599999999998,1.2,0.8,0.8,0.0,0.7,0.7
4330,20.5,18.8,20.4,20.2,17.5,19.5,19.28,93.0,91.5,85.6,85.0,81.7,87.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.6,1007.8,1007.4,1008.2,1008.4,1007.8799999999999,2.0,0.6,0.8,0.3,0.9,0.9200000000000002
4331,20.5,18.6,20.4,20.1,17.3,19.4,19.160000000000004,92.6,93.1,86.1,84.9,82.3,87.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.6,1007.8,1007.3,1008.2,1008.3,1007.8399999999999,1.2,0.8,0.7,0.5,0.1,0.66
4332,20.5,18.2,20.4,20.0,17.1,19.5,19.04,93.4,94.0,86.0,84.9,83.2,88.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.5,1007.7,1007.3,1008.0,1008.2,1007.74,1.4,1.3,0.5,0.1,0.0,0.66
4333,20.5,18.0,20.4,19.8,17.4,19.6,19.04,94.2,95.3,86.0,85.1,83.5,88.82000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.4,1007.8,1007.3,1008.0,1008.2,1007.74,1.8,1.0,0.7,0.0,0.0,0.7
4334,20.5,18.0,20.4,19.7,17.1,19.6,18.959999999999997,93.8,96.0,85.7,85.2,84.2,88.97999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.2,1007.8,1007.2,1008.0,1008.3,1007.7,0.5,0.7,0.6,0.0,0.0,0.36
4335,20.5,17.7,20.4,19.7,16.8,19.6,18.839999999999996,93.8,96.4,85.6,85.1,84.6,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,1007.8,1007.1,1007.9,1008.4,1007.64,0.2,0.8,0.1,0.3,0.0,0.28
4336,20.0,17.8,20.3,19.7,16.7,19.7,18.84,94.3,96.5,85.3,85.4,84.7,89.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.1,1007.9,1007.1,1007.9,1008.2,1007.64,0.8,0.4,0.9,1.1,0.0,0.64
4337,20.0,17.6,20.2,19.7,16.7,19.7,18.78,94.7,97.0,84.2,85.8,84.4,89.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.2,1007.9,1007.2,1007.9,1008.0,1007.6400000000001,1.1,0.8,0.7,0.8,0.0,0.68
4338,20.0,17.4,20.1,19.7,16.6,19.6,18.68,94.6,97.2,83.9,86.4,84.2,89.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.3,1007.7,1007.2,1007.8,1007.9,1007.5799999999999,1.1,0.0,0.0,0.5,0.0,0.32
