s1,s2,s3,s4,s5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01
0.01,0.0,0.0,0.0,0.03
0.05,0.0,0.0,0.0,0.06
0.09,0.0,0.0,0.0,0.11
0.15,0.0,0.0,0.0,0.18
0.23,0.0,0.0,0.0,0.27
0.33,0.0,0.0,0.0,0.38
0.46,0.0,0.0,0.0,0.51
0.6,0.0,0.0,0.0,0.66
0.76,0.0,0.0,0.0,0.84
0.95,0.0,0.0,0.0,1.04
1.16,0.0,0.0,0.0,1.26
1.39,0.0,0.0,0.0,1.5
1.65,0.0,0.0,0.0,1.77
1.92,0.0,0.0,0.0,2.06
2.23,0.0,0.0,0.0,2.38
2.54,0.0,0.0,0.0,2.72
2.88,0.0,0.0,0.0,3.08
3.24,0.0,0.0,0.0,3.45
3.61,0.0,0.0,0.0,3.85
4.01,0.0,0.0,0.0,4.27
4.42,0.0,0.0,0.0,4.71
4.86,0.0,0.0,0.0,5.17
5.32,0.0,0.0,0.0,5.64
5.78,0.0,0.0,0.0,6.13
6.26,0.0,0.0,0.0,6.64
6.76,0.0,0.0,0.0,7.17
7.28,0.0,0.0,0.0,7.71
7.82,0.0,0.0,0.0,8.27
8.35,0.0,0.0,0.0,8.84
8.89,0.0,0.0,0.0,9.42
9.47,0.0,0.0,0.0,10.02
10.03,0.0,0.0,0.0,10.63
10.61,0.0,0.0,0.0,11.24
11.21,0.0,0.0,0.0,11.87
11.8,0.0,0.0,0.0,12.5
12.39,0.0,0.0,0.0,13.14
13.0,0.0,0.0,0.0,13.79
13.6,0.0,0.0,0.0,14.43
14.19,0.0,0.0,0.0,15.08
14.81,0.0,0.0,0.0,15.74
15.43,0.0,0.0,0.0,16.39
16.05,0.0,0.0,0.0,17.04
16.67,0.0,0.0,0.0,17.65
17.28,0.0,0.0,0.0,18.32
17.88,0.0,0.0,0.0,18.87
18.53,0.0,0.0,0.0,19.45
