,t1,t2,t3,t4,t5,ap1,ap2,ap3,ap4,ap5,sp1,sp2,sp3,sp4,sp5,ws1,ws2,ws3,ws4,ws5,wd1,wd2,wd3,wd4,wd5,h1,h2,h3,h4,h5,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
4320,19.3,20.8,21.0,18.0,18.7,987.7,988.0,1001.1,1006.7,1000.1,1007.7,1007.8,1007.4,1008.2,1008.3,0.9,2.2,0.5,1.1,0.0,162.5,312.8,0.0,257.5,353.5,93.2,87.0,87.6,84.0,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4321,19.0,20.6,20.7,17.7,19.0,987.6,988.0,1001.1,1006.7,1000.1,1007.7,1007.8,1007.4,1008.2,1008.3,1.9,2.2,0.1,0.4,0.1,317.4,308.9,0.0,262.5,303.1,93.7,89.2,86.4,84.4,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4322,19.1,20.5,20.7,17.4,19.2,987.6,988.1,1001.2,1006.7,1000.1,1007.8,1007.9,1007.4,1008.2,1008.3,2.0,1.4,0.0,0.1,0.0,0.0,294.1,0.0,343.5,307.3,93.6,89.2,85.7,84.9,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4323,19.2,20.5,20.6,17.5,19.3,987.7,988.1,1001.3,1006.8,1000.1,1007.9,1007.9,1007.5,1008.2,1008.4,1.8,1.5,0.0,0.0,0.0,0.0,297.6,0.0,0.0,315.6,93.7,89.8,85.1,84.9,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4324,19.2,20.5,20.5,17.4,19.5,987.8,988.1,1001.3,1006.8,1000.2,1007.9,1007.8,1007.6,1008.3,1008.4,1.4,1.4,0.0,0.0,0.0,0.0,277.4,0.0,0.0,321.2,93.9,89.7,84.9,84.9,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4325,19.0,20.4,20.5,17.4,19.6,987.9,988.1,1001.2,1006.8,1000.2,1007.8,1008.0,1007.7,1008.3,1008.4,1.5,1.2,0.3,0.0,0.0,26.0,292.4,0.0,0.0,287.4,94.0,90.4,84.9,85.2,81.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4326,19.1,20.3,20.5,17.3,19.8,987.9,988.1,1001.2,1006.7,1000.2,1007.8,1008.0,1007.7,1008.3,1008.3,1.2,1.0,0.1,0.0,0.6,264.8,271.3,328.0,0.0,330.5,93.9,90.2,83.6,85.2,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4327,19.3,20.4,20.5,17.3,19.7,987.8,988.1,1001.2,1006.8,1000.3,1007.8,1008.0,1007.6,1008.4,1008.4,0.7,0.6,0.0,0.0,0.8,0.0,280.9,350.5,0.0,352.3,94.3,88.9,84.0,85.2,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4328,19.1,20.4,20.5,17.5,19.7,987.7,988.1,1001.1,1006.8,1000.2,1007.7,1008.0,1007.5,1008.3,1008.4,2.7,0.1,0.7,0.0,0.7,267.8,269.2,330.6,0.0,305.1,94.6,89.7,83.9,85.3,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4329,18.8,20.4,20.3,17.4,19.6,987.7,988.1,1001.0,1006.8,1000.2,1007.6,1008.0,1007.5,1008.3,1008.4,1.2,0.8,0.8,0.0,0.7,221.3,287.4,340.6,0.0,306.1,93.6,91.2,85.1,85.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4330,18.8,20.4,20.2,17.5,19.5,987.6,988.1,1001.0,1006.8,1000.1,1007.6,1007.8,1007.4,1008.2,1008.4,2.0,0.6,0.8,0.3,0.9,216.1,272.5,340.3,272.8,303.6,93.0,91.5,85.6,85.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4331,18.6,20.4,20.1,17.3,19.4,987.5,988.0,1001.0,1006.7,1000.1,1007.6,1007.8,1007.3,1008.2,1008.3,1.2,0.8,0.7,0.5,0.1,270.8,297.6,273.1,268.5,261.5,92.6,93.1,86.1,84.9,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4332,18.2,20.4,20.0,17.1,19.5,987.5,988.0,1000.9,1006.6,999.9,1007.5,1007.7,1007.3,1008.0,1008.2,1.4,1.3,0.5,0.1,0.0,269.8,283.0,0.0,237.8,271.1,93.4,94.0,86.0,84.9,83.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4333,18.0,20.4,19.8,17.4,19.6,987.5,987.9,1000.8,1006.6,999.9,1007.4,1007.8,1007.3,1008.0,1008.2,1.8,1.0,0.7,0.0,0.0,242.7,280.1,0.0,0.0,238.8,94.2,95.3,86.0,85.1,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4334,18.0,20.4,19.7,17.1,19.6,987.4,987.9,1000.6,1006.7,999.9,1007.2,1007.8,1007.2,1008.0,1008.3,0.5,0.7,0.6,0.0,0.0,215.8,281.4,0.0,0.0,254.4,93.8,96.0,85.7,85.2,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4335,17.7,20.4,19.7,16.8,19.6,987.2,987.9,1000.4,1006.8,999.8,1007.0,1007.8,1007.1,1007.9,1008.4,0.2,0.8,0.1,0.3,0.0,0.0,265.2,0.0,258.1,253.3,93.8,96.4,85.6,85.1,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.5
4336,17.8,20.3,19.7,16.7,19.7,987.2,988.0,1000.5,1006.6,999.8,1007.1,1007.9,1007.1,1007.9,1008.2,0.8,0.4,0.9,1.1,0.0,46.2,213.9,0.0,289.6,271.5,94.3,96.5,85.3,85.4,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.0
4337,17.6,20.2,19.7,16.7,19.7,987.3,988.0,1000.6,1006.4,999.8,1007.2,1007.9,1007.2,1007.9,1008.0,1.1,0.8,0.7,0.8,0.0,69.5,248.6,0.0,277.5,273.9,94.7,97.0,84.2,85.8,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.0
4338,17.4,20.1,19.7,16.6,19.6,987.3,987.8,1000.7,1006.3,999.7,1007.3,1007.7,1007.2,1007.8,1007.9,1.1,0.0,0.0,0.5,0.0,0.0,252.1,0.0,265.5,244.3,94.6,97.2,83.9,86.4,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.0
4339,17.4,20.0,19.8,16.4,19.3,987.5,987.8,1000.9,1006.4,999.6,1007.5,1007.6,1007.4,1007.7,1008.0,0.5,0.6,0.6,0.3,0.1,242.6,260.6,0.0,264.1,243.5,94.9,97.9,84.7,86.8,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.5
4340,17.4,19.9,19.7,16.6,19.2,987.6,987.8,1001.0,1006.4,999.7,1007.6,1007.6,1007.5,1007.8,1008.0,0.6,0.7,0.0,0.7,0.0,0.0,278.2,0.0,260.2,214.1,95.2,97.9,84.3,87.2,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4341,17.2,19.9,19.7,16.6,19.1,987.8,987.8,1001.0,1006.4,999.9,1007.6,1007.6,1007.7,1008.0,1008.0,0.4,1.1,0.6,0.8,0.0,248.3,240.2,0.0,286.2,253.0,95.2,97.9,85.1,87.4,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4342,17.4,19.9,19.6,16.6,19.0,987.8,987.9,1001.0,1006.5,999.9,1007.6,1007.7,1007.7,1008.0,1008.1,0.2,0.5,0.0,0.0,0.0,0.0,306.6,0.0,0.0,236.7,95.4,97.9,85.0,87.7,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4343,17.2,19.9,19.6,16.8,19.0,987.7,987.9,1001.1,1006.6,1000.0,1007.7,1007.7,1007.6,1008.1,1008.2,0.5,0.8,0.1,0.2,0.1,0.0,280.0,0.0,280.1,250.4,95.6,97.9,85.8,87.9,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4344,17.1,19.9,19.3,16.9,18.9,987.7,987.9,1001.1,1006.7,1000.1,1007.7,1007.7,1007.6,1008.2,1008.3,0.5,0.3,0.8,0.7,0.0,121.8,237.8,0.0,353.8,334.2,95.5,97.9,85.2,87.8,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4345,17.0,19.9,19.5,16.9,18.9,987.7,988.0,1001.2,1006.8,1000.0,1007.8,1007.8,1007.6,1008.1,1008.4,1.1,0.3,0.5,0.2,0.0,352.2,271.7,0.0,55.6,271.2,95.2,97.9,85.7,87.6,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
