wd1,wd2,wd3,wd4,wd5
71.3,101.1,56.1,2.3,256.4
121.8,165.3,0.0,0.0,215.4
232.0,144.0,0.0,0.0,235.2
0.0,115.9,294.1,0.0,214.0
0.0,124.7,0.0,0.0,174.9
222.0,174.2,0.0,0.0,243.1
257.8,168.9,0.0,0.0,195.8
226.4,112.8,0.0,0.0,262.7
215.0,157.4,0.0,0.0,236.1
214.4,134.0,0.0,0.0,230.9
197.9,139.3,0.0,0.0,261.6
262.1,136.9,106.4,0.0,229.6
250.0,131.3,0.0,0.0,220.5
193.2,119.3,0.0,0.0,207.4
231.8,137.7,87.8,0.0,179.7
227.9,137.7,128.9,0.0,182.9
156.5,143.1,0.0,0.0,143.9
207.3,139.5,198.3,0.0,148.6
0.0,137.3,0.0,0.0,149.6
199.5,123.8,0.0,0.0,139.7
163.1,135.7,0.0,0.0,145.3
205.6,115.3,0.0,0.0,135.8
0.0,130.9,0.0,0.0,143.7
18.1,139.1,0.0,0.0,149.8
0.0,135.0,0.0,0.0,147.5
319.0,159.2,108.1,324.5,164.8
307.4,132.3,0.0,0.0,158.1
281.4,133.2,130.4,274.5,200.3
279.8,127.7,138.5,0.0,172.9
214.5,133.5,101.5,0.0,143.8
139.3,121.3,0.0,0.0,142.6
123.0,133.6,94.5,290.0,139.6
131.6,128.8,0.0,0.0,142.1
232.6,120.5,0.0,20.5,140.9
199.1,113.4,0.0,278.0,142.2
259.0,128.7,0.0,352.3,152.8
136.2,121.6,322.4,291.8,153.2
32.1,119.4,0.0,278.5,157.7
0.0,114.1,218.2,283.2,166.0
232.6,114.7,166.8,136.6,150.1
315.7,125.1,55.2,0.0,155.0
0.0,120.5,137.7,358.0,155.2
316.8,119.3,140.6,63.1,163.5
328.8,122.7,137.3,36.8,170.8
263.8,138.0,130.8,95.9,201.8
327.8,130.4,133.6,70.1,168.8
359.1,122.9,133.7,59.8,258.6
224.0,125.6,147.5,82.2,173.5
344.3,126.6,133.2,71.2,234.6
1.9,125.6,140.7,119.0,226.0
35.1,121.2,136.6,87.2,249.5
10.0,120.7,130.4,0.0,223.7
171.8,118.9,164.2,215.0,176.1
7.5,131.7,185.9,229.7,251.6
253.0,124.5,185.0,235.7,178.5
317.4,112.1,208.7,202.8,171.0
51.9,148.4,214.6,282.3,210.2
43.3,124.3,215.3,245.8,246.7
86.3,128.8,254.1,235.7,216.1
144.9,131.8,229.0,243.8,223.3
142.1,125.1,226.0,279.4,187.6
28.6,113.4,247.5,265.4,257.7
121.4,120.4,224.4,277.3,215.8
100.9,114.0,227.9,262.0,245.0
157.2,175.7,209.6,215.6,256.9
66.4,330.7,228.4,263.6,246.4
92.1,125.9,227.8,245.4,274.5
148.4,118.6,223.0,222.1,209.5
127.1,166.4,225.1,305.3,194.0
144.0,134.5,223.5,245.6,259.1
168.0,169.5,246.3,289.7,236.2
190.4,142.6,231.3,236.5,228.9
151.2,116.9,236.0,219.8,217.7
116.4,102.7,217.5,241.7,247.6
152.0,332.9,221.7,217.7,253.8
175.8,133.0,232.6,257.5,257.5
118.6,135.9,239.8,237.1,237.6
123.4,127.1,281.5,239.7,234.3
192.3,170.3,295.2,251.7,253.3
203.5,110.7,253.5,227.4,262.4
155.4,240.4,264.6,270.9,243.6
108.8,237.0,225.2,223.2,265.4
157.6,200.6,212.7,250.7,286.9
155.4,216.3,233.3,231.6,275.3
150.9,183.0,214.3,252.8,265.0
146.8,194.8,240.7,255.8,257.8
149.8,174.7,244.0,226.5,250.7
137.0,207.1,227.8,227.8,249.0
162.4,185.7,247.1,244.5,243.3
133.2,172.8,219.2,251.9,278.3
134.4,189.5,217.3,284.8,261.7
164.2,152.9,288.5,256.3,262.7
131.6,233.3,230.9,253.9,280.1
143.2,202.1,233.4,282.5,257.5
159.5,250.3,238.2,279.7,289.1
166.2,193.8,243.8,289.9,286.2
146.3,257.5,239.7,277.8,263.3
145.7,241.7,221.0,274.7,255.1
129.2,262.6,220.9,291.1,262.2
174.7,216.0,222.9,297.4,262.0
169.0,195.5,224.2,296.2,248.8
138.1,103.5,234.5,299.2,252.1
187.2,177.7,236.0,266.3,260.8
177.3,212.5,222.1,252.1,267.4
137.8,174.2,218.2,231.8,271.7
106.4,259.3,215.5,237.0,241.4
164.1,207.5,221.0,234.1,260.3
138.4,142.0,223.1,225.7,279.5
143.9,180.7,238.4,227.0,245.6
208.8,161.5,214.8,220.5,251.8
185.0,135.9,229.4,221.1,256.1
154.6,155.8,236.1,237.8,247.9
142.3,145.9,227.7,242.6,230.6
146.4,142.0,226.1,260.4,248.3
106.4,153.8,225.5,250.9,254.4
